Last Update,IP Address,Port,Country,Speed,Connection Time,Type,Anon
12secs,218.106.96.200,80,China,,,HTTP,High +KA
1min,222.45.196.45,8118,China,,,HTTP,High +KA
2mins,122.96.59.104,81,China,,,HTTP,High +KA
2mins,122.193.14.109,80,China,,,HTTP,High +KA
2mins,180.175.167.13,8118,China,,,HTTP,High +KA
2mins,122.96.59.104,83,China,,,HTTP,High +KA
3mins,121.69.29.6,8118,China,,,HTTP,High +KA
4mins,122.96.59.107,82,China,,,HTTP,High +KA
6mins,122.96.59.104,80,China,,,HTTP,High +KA
7mins,122.193.14.114,80,China,,,HTTP,High +KA
8mins,122.96.59.107,843,China,,,HTTP,High +KA
8mins,124.244.77.129,80,Hong Kong,,,HTTP,High +KA
9mins,211.137.39.61,8080,China,,,HTTP,High +KA
13mins,122.96.59.107,80,China,,,HTTP,High +KA
14mins,122.193.14.106,80,China,,,HTTP,High +KA
15mins,122.96.59.104,843,China,,,HTTP,High +KA
16mins,190.123.38.5,80,Panama,,,HTTP,High +KA
18mins,218.106.96.201,80,China,,,HTTP,High +KA
21mins,121.69.23.134,8118,China,,,HTTP,High +KA
23mins,218.213.166.218,81,Hong Kong,,,HTTP,High +KA
24mins,121.69.22.250,8118,China,,,HTTP,High +KA
25mins,124.88.67.33,843,China,,,HTTP,High +KA
26mins,122.193.14.85,80,China,,,HTTP,High +KA
27mins,222.39.87.21,8118,China,,,HTTP,High +KA
27mins,218.106.96.211,80,China,,,HTTP,High +KA
29mins,122.193.14.104,80,China,,,HTTP,High +KA
30mins,122.193.14.105,80,China,,,HTTP,High +KA
34mins,117.136.234.8,80,China,,,HTTP,High +KA
35mins,117.136.234.6,80,China,,,HTTP,High +KA
35mins,107.151.152.218,80,USA,,,HTTP,High +KA
37mins,183.62.186.46,80,China,,,HTTP,High +KA
38mins,218.106.96.204,80,China,,,HTTP,High +KA
38mins,107.151.152.210,80,USA,,,HTTP,High +KA
38mins,107.151.142.122,80,USA,,,HTTP,High +KA
39mins,211.143.146.230,81,China,,,HTTP,High +KA
40mins,213.85.92.10,80,Russia,,,HTTP,High +KA
41mins,213.136.79.124,80,Germany,,,HTTP,High +KA
41mins,202.50.176.212,8080,New Zealand,,,HTTP,High +KA
44mins,107.151.142.115,80,USA,,,HTTP,High +KA
44mins,211.143.146.230,80,China,,,HTTP,High +KA
50mins,124.88.67.33,83,China,,,HTTP,High +KA
52mins,218.106.96.195,80,China,,,HTTP,High +KA
53mins,218.106.96.194,80,China,,,HTTP,High +KA
54mins,124.232.147.22,80,China,,,HTTP,High +KA
55mins,122.193.14.108,80,China,,,HTTP,High +KA
59mins,124.200.181.50,8118,China,,,HTTP,High +KA
1h 1min,107.151.142.116,80,USA,,,HTTP,High +KA
1h 3mins,107.151.142.125,80,USA,,,HTTP,High +KA
1h 10mins,180.73.66.245,81,Malaysia,,,HTTP,High +KA
1h 21mins,180.73.0.29,81,Malaysia,,,HTTP,High +KA
1h 47mins,60.248.58.251,8080,Taiwan,,,HTTP,High
1h 52mins,213.219.38.165,8118,USA,,,HTTP,High +KA
2h 12mins,222.186.12.195,3080,China,,,HTTP,High +KA
2h 33mins,159.203.71.65,80,USA,,,HTTP,High +KA
3h 3mins,121.69.29.162,8118,China,,,HTTP,High +KA
3h 23mins,200.237.249.55,80,Brazil,,,HTTP,High +KA
3h 33mins,223.19.212.30,80,Hong Kong,,,HTTP,High +KA
4h 4mins,210.245.25.230,3128,Viet Nam,,,HTTP,High +KA
4h 41mins,186.4.142.98,3128,Ecuador,,,HTTP,High +KA
5h,92.254.20.67,80,Netherlands,,,HTTP,High +KA
5h 5mins,114.34.49.20,8080,Taiwan,,,HTTP,High
5h 9mins,181.48.0.173,8081,Colombia,,,HTTP,High +KA
5h 18mins,204.14.188.53,7004,USA,,,HTTP,High +KA
6h 40mins,122.96.59.107,83,China,,,HTTP,High +KA
6h 57mins,117.136.234.9,81,China,,,HTTP,High +KA
7h 34mins,122.96.59.104,82,China,,,HTTP,High +KA
8h 29mins,120.131.128.211,80,China,,,HTTP,High +KA
9h 12mins,213.136.79.122,80,Germany,,,HTTP,High +KA
11h 41mins,180.175.84.218,8118,China,,,HTTP,High +KA
12h 8mins,222.59.161.12,8118,China,,,HTTP,High +KA
12h 23mins,183.95.81.100,80,China,,,HTTP,High +KA
12h 28mins,202.167.248.186,80,Hong Kong,,,HTTP,High +KA
13h 13mins,117.136.234.8,843,China,,,HTTP,High +KA
13h 52mins,180.73.0.8,81,Malaysia,,,HTTP,High +KA
14h 10mins,220.226.188.171,80,India,,,HTTP,High +KA
16h 16mins,222.39.112.12,8118,China,,,HTTP,High +KA
17h 3mins,202.195.192.197,3128,China,,,HTTP,High +KA
17h 44mins,84.119.82.129,80,Austria,,,HTTP,High +KA
17h 59mins,218.191.26.107,80,Hong Kong,,,HTTP,High +KA
18h 8mins,125.64.5.3,8000,China,,,HTTP,High +KA
19h 14mins,124.200.98.154,8118,China,,,HTTP,High +KA
19h 50mins,202.56.203.36,80,India,,,HTTP,High +KA
21h 25mins,202.120.52.17,80,China,,,HTTP,High +KA
22h 8mins,183.207.95.29,8080,China,,,HTTP,High +KA
23h 24mins,122.193.14.103,80,China,,,HTTP,High +KA